target_word,sentence_1_id,sentence_1,sentence_2_id,sentence_2,era_group,[Bewertung]
bildhauer,2637247,34. Es hat nemlich nicht alles Holtz einerley Eigenſchafften. Vitruvius ( lib. 2. c. 9 ) mercket an / daß das Taͤnniñe fein grade bleibe / aber leicht wurmſtichicht werde / und ſich geſchwinde entzuͤnde ; das Eichene in der Erde wohl daure / und im Waſſer faſt zu Stein werde / aber ſich leicht in die Kruͤmme ziehe / und Rietze gewinne ; Pappein und Linden ſehr weich ſeyn / und dannenhero den Bildhauern zu Schnietzwerck dienen ; Die Erle in ſumpfichtem Boden ſich wohl halte / und ungeheure Laſten trage ; Cypreſſen und Fichten ſich leicht ſencken .,2403432,Der Bildhauer Martinez Montañes .,Cross-Era,4
zitronensaft,2770410,Zuletzt wird mit Eſſig oder Eſſigſäure oder Citronenſaft aviviert .,4641133,"Ich riet , mit dem Kaffee und Citronenſaft fortzufahren , und empfahl dabei ein heißes Fußbad ; dann wollte ich wieder gehen .",Late-Late,4
wunderwerk,3135504,"Sie rieffen uns beyde Zuruͤckgebliebenen dahin , um dieſes angenehme Wunderwerck nebſt deſſen Bequemlichkeit mit uns zu theilen , da wir denn ſo gleich einſtimmig bekennen muſten , daß dieſes kein von der Natur , ſondern von Menſchen-Haͤnden gemachtes Werck ſeyn muͤſſe , denn die Zacken waren oben allzukuͤnſtlich , als ein Gewoͤlbe zuſammen geflochten , ſo daß , wegen des ſehr dick auf einander liegenden Laubwercks , kein Troyffen Waſſer durchdringen konte , uͤber dieſes gab der Augenſchein , daß der Baumeiſter vor dieſen an 3en Seiten rechte Fenſter-Loͤcher gelaſſen , welche aber nunmehro gautz wild verwachſen waren , zu beyden Seiten des Eingangs hingegen , ſtunden 2. oben abgeſaͤgte Baͤume , deren im Bogen geſchlungene Zweige ein ordentliches Thuͤr-Gewoͤlbe formirten .",1215209,"Die grossen Entdeckungen von Columbus , Vasco di Gama , Magalhães u. s. w. sind alle schon eine Frucht exakter wissenschaftlicher Arbeit. Toscanelli ( geb. 1397 ) , der Ratgeber des Columbus und vermutliche Urheber seiner Reise nach Westen , war ein sehr tüchtiger , gelehrter Astronom und Kosmograph , der die sphärische Gestalt der Erde zu beweisen unternahm und dessen Karte des Atlantischen Ozeans , die Columbus auf seiner ersten Reise benutzte , ein Wunderwerk des Wissens und der Intuition ist .",Cross-Era,3
rehbock,5211155,"Der Jäger , welcher an zwei verſchiedenen , neben einander im Dickicht gelegenen , Stellen Geräuſch hört und weiß , das eine rühre von einem Rehbock , das andere von einem Treiber her , aber nicht welches , und nun nach der Stelle des einen Geräuſches , oder auch in der Richtung der beiden Geräuſche , ſchießt , ſo daß er gerade ſo gut den Treiber wie das Thier treffen kann , hat unerachtet dieſer gleichen Wahrſcheinlichkeit , wenn er den Treiber trifft , nur für culpa einzuſtehen .",2091341,"Det wees ick ſchon , ’n Rehbock is det !",Late-Late,2
triebwerk,2420288,"Und die Adern die dran ſizzen , Siehet man beſtaͤndig ſprizzen Durch ein Triebwerk das ſtets geht , Bis zum Todt nicht ſtille ſteht .",3657789,"Uhren , welche ein ſelbſtſtändiges Triebwerk beſitzen und nur innerhalb gewiſſer Zeiträume durch Einwirkung elektriſcher Ströme gerichtet werden , nennt man Secundäruhren oder , wenn die Richtigſtellung alle Stunden erfolgt , Stundenſteller .",Cross-Era,4
streitsache,330841,"Jn der 1. Diſſert. leſen wir 1 ) das Jnſtrument , ſo Ulrich Helmasperger , ein Kayſerl. Notarius , wegen der Streitſache Jacob und Johann Fauſts an einem Theil , und Johann Guttenbergs am andern Theil verfertiget .",4308465,"6. Wo uͤber ſolche dinge unter Paſtore und Diacono ſtreit entſtehen / und ſie nicht mit beyderſeits gutẽ belieben freundl . beygelegetwerdẽ koͤñen / ſo zwahr allezeit das Chriſtlichſte iſt / ſo iſt weder Paſtor noch Diaconus in der eigenen ſache richter / ſondern ſie haben die entſcheidung anderwerts her zu erwarten : entweder von der geſamten kirchen / welche art die beſte und der ordnung Chriſti die gemaͤſſeſte iſt / daß die geſamte gemeinde in den ſachen urtheile / wie viel von jeglichem / dem ſie die gewalt uͤber ſich gegeben / und in was ordnung ſie verwaltet haben wolle / odeꝛ in anderer verfaſſung unſerer kirchen voꝛ dem Conſiſtorio , oder der obrigkeit / zu dero gewalt auch in gewiſſer maaß das urtheil in dieſen euſſerlichen ſtreitſachen gehoͤret / ſo aber billich auch dabey andere ihreꝛ miniſtrorum odeꝛ unpartheyiſche prediger um ihres gewiſſens verwahrung willen mit zu rath zu ziehen hat .",Early-Early,2
stückwerk,3485351,Cupido hat allhier ein Stuͤckwerck angefangen / Das zarte Fell bedeckt / das Roſ’ und Purpur pocht / Wie wenn der Wolcken Schleyr zu Troſt erdurſter Frucht Im heiſſen Sommer wird der Sonnen vorgehangen .,1711530,"Die Arbeit des Mannes in Staat und Volkswirtſchaft mag dabei als die bedeutungsvollere erſcheinen ; ſie iſt doch für jeden einzelnen Mitarbeiter ein arbeitsteiliges Stückwerk , deſſen Reſultate das Individuum oft gar nicht , oft erſt ſpät überſieht .",Cross-Era,2
bildhauer,2205909,"„ Auch ein Gaumen und Magen kann in beglückenden Zukunftsbildern ſchwelgen , ‟ rief der Kaiſer u. ſ. w. Der Weltbeherrſcher ſcheint den aufgewärmten Kohl bei „ Frau Doris ‟ , des Pollux Mutter , wirklich verzehrt zu haben , denn er ſagt ſpäter einmal , da er mit dem Bildhauer in ein Wirthshaus geht : „ Jch ſchulde dir ohnehin noch eine Mahlzeit für das Kohlgericht deiner Mutter . ‟",5683371,"Die Kaſſenbeſtände der Organiſationen ſind gleichfalls ſehr minimal , wenig Pfennige kommen durchgängig auf den Kopf des Mitgliedes und nur die Organiſationen der Buchdrucker , Bildhauer und noch einige andere beſitzen größere Kapitalien .",Late-Late,4
tagewerk,3398847,"Jn deiner Liebſten Angeſichte Da laͤchelt Dir Zufriedenheit , Allwo bey jugendlichem Lichte Beſcheiden ſpielt die Sittſamkeit ; Jn dieſem Spiegel frommer Jugend Erblickeſt Du nur reine Tugend , Ein redlich Weſen ohne Schein , Willſt Du von ihren Tagewerken Noch ein poetiſch Gleichniß merken , So bilde Dir die Bienen ein .",3398473,"Wo das Jahr in ſeiner Fuͤlle Und des Fruͤhlings bunte Pracht Ein gelobtes Land bemerken , Wo des Himmels Ueberfluß Den beſchwitzten Tagewerken Hundertfaͤltig lohnen muß !",Early-Early,4
feuerwerk,6105683,Abends ist Feuerwerk .,1482680,"Von einer zunftmäſsigen Verfassung , wie sie den Meistern der Fechtkunst vom Kaiser Friedrich III. erteilt wurde , ist in den benutzten Werken keine Erwähnung vorhanden , wohl aber , daſs der zum Meister sich ausbilden wollende Geselle bei den Koriphäen seiner Kunst herumreist , um dort zu lernen , wie Meister Hans aus München ( 1502 ) erzählt , bei welchen Meistern er das Feuerwerk , das Pulvermachen , den Schuſs aus den Büchsen , das Werfen aus den Mörsern und endlich das Sprengwerk erlernt habe .",Late-Late,2
sündenfall,444508,"Wir ſitzen von Natur in Finſterniß und Schatten des Todes gefangen , wir ſind nach dem Suͤndenfall aus dem angenehmen Eden in ein betruͤbtes und unangenehmes Land verwieſen .",1210271,"Und bezüglich des Sündenfalles verweise ich ihn auf Luther , welcher schreibt :",Cross-Era,4
ziegenbock,1272121,"Alphons , du alter Ziegenbock , Komm her , Lenorgen , ſchoͤne Tock , Herr Silvio , geht aus dem Wege , Nun werden alle Geiſter rege .",4407653,"Die Chaldaͤer hatten den Loͤwen , die Perſer den Parder , die Griechen den Ziegenbock , die Roͤmer den Adler ꝛc .",Early-Early,4
meerwasser,2980274,"Kjellman hat während der Ueberwinterung auf Spitzbergen 1872/73 mehr als 20 Arten von Seetangen mit deutlicher Reproduktionsthätigkeit mitten in der Polarnacht unter dem Eise in — 1 ° bis — 2 ° kaltem Meerwasser beobachtet ( G. J. , Bd. VII. S. 174. ) .",1398110,"Drei fernere Reihen derselben Bleche wurden zwischen den Röhren des Wasserraumes von Marinedampfkesseln so aufgehängt , dass sie mindestens 30 cm unter der Wasserlinie blieben ; und zwar befanden sich die Bleche einer dieser Reihen solcherart 361 Tage im Kessel eines Ostindienfahrers , in welchen zum Erschweren des Rostens Zink eingelegt wurde und welcher nur selten entleert wurde ; die Bleche einer zweiten Reihe hingen in gleicher Weise 264 Tage hindurch im Kessel eines Chinadampfers , der , ohne Benutzung von Zink , an jeder Endstation abgeblasen und frisch mit Meerwasser gefüllt wurde ; die letzte Reihe Bleche endlich reiste 336 Tage hindurch im Kessel eines Küstendampfers , welcher sein Speisewasser aus einem Theile des Flusses Tyne erhielt , welcher durch die Abflusswässer einer grossen chemischen Fabrik stark verunreinigt und angesäuert war .",Late-Late,3
seewasser,4503468,"An die Aurata reiht er zunächſt andere mit Schuppen verſehene , an den Ufern ſich aufhaltende Seefiſche , Pagrus , Cantharus u. a. Von dieſen geht er auf die in dem reinſten Seewaſſer in der Nähe von Felſen und Riffen lebenden Schuppenfiſche über , welche ſchon Galen als saxatiles bezeichnet und ihres beſonders geſunden Fleiſches wegen gerühmt hatte .",1092441,"Der Missionär Zucchelli beschreibt an der Küste von Congo das Verfahren der Eingebornen Seewasser abzudampfen , doch sind wir nicht sicher , ob diese Erwerbsart des Salzes schon vor der Niederlassung von Portugiesen dort in Gebrauch war .",Late-Late,4
ziegenbock,4416913,"Dieſes Wappen hat 5 Helme ; der erſte hat 2 ſilberne Buͤffels-Hoͤrner mit gruͤnen Zweigen beſtecket , als der Heßiſche ; der andere iſt der Hirſchfeldiſche , und hat einen Pfau- Schwantz ; der dritte als der Ziegenhayniſche , hat einen ſchwartzen Ziegenbock mit ſchwartz und Gold getheilten Fluͤgeln ; der vierte als der Catzenelnbogiſche , zeiget 2 ſchwartze Fluͤgel mit Gold eingefaßt , darauf ein blau gecroͤnter Leopard ſtehet , der fuͤnffte iſt der Schaumburgiſche , und traͤgt zwiſchen zwey weiſſen oben mit Pfau-Federn gezierten Staͤben 5 Faͤhnlein mit dem Neſſel- Blatte .",989681,was ſeh ich / Pickelhaͤring und ſein vater / ihr alter ziegenbock / was faͤhrt euch vor eine freude in die achſel ?,Early-Early,4
zeughaus,2592449,Viele Gewehre gingen nach Ungarn und das polnische Zeughaus zu Krakau enthielt viele Tausende davon .,2598483,"2 eiserne , geschmiedete Scharpentinen ins Zeughaus zu 22 Thlr . gleich 75 fl. 12 Gr .",Late-Late,4
gesichtszug,6109743,"Er war ein ſehr ſtattlicher Mann , jetzt wol Anfang der Vierziger , und die ihm innewohnende Energie prägte ſich in ſeinen Geſichtszügen aus .",4700642,Sie war mächtig aufgeſchoſſen und ihre Geſichtszüge hatten eine ſcharfe Deutlichkeit angenommen .,Late-Late,4
feuerwerk,2201293,"Moͤgte doch der Schoͤpfer dieſes auch nicht minder Wunderſchoͤn , Als ein geiſtig Feuer-Werck , Jhm zur Ehre , brennen ſehn !",5407929,Ein Feuerwerk beschloss den Abend .,Cross-Era,4
rechtsstreit,1288865,"So in einer Erzählung über einen Rechtsstreit , welcher in der Zeit Ludwigs I. zwischen den Kirchen von Fleury und Saint Denis entbrannt war .",2017898,"Der Nebenintervenient muß den Rechtsſtreit in der Lage annehmen , in welcher ſich dieſer zur Zeit ſeines Beitritts befindet ; er iſt berechtigt , Angriffs- und Vertheidigungsmittel geltend zu machen und alle Prozeßhandlungen wirkſam vorzunehmen , inſoweit nicht ſeine Erklärungen und Handlungen mit Erklärungen und Handlungen der Hauptpartei in Widerſpruch ſtehen .",Late-Late,4
kinderspiel,5166908,"Du komſt ſtets naͤher zu dem Ziele , Was ſoll denn deine Eitelkeit , Denk an den Schatz der Ewigkeit ; Verlaß die guͤldnen Kinderſpiele Die Klumpen dikke Erden Goͤtzen , Die nur ein Schein der Augen ſind , Und in der That nur Erd und Wind :",987740,Und waͤr es kinder-ſpiel / ſo wuͤrden nicht die alten Auf dieſe leckerey ſo groſſe ſtuͤcke halten .,Early-Early,4
kartenspiel,986774,Das umgekehrte kartenſpiel .,2066696,Natürlich wurde der Sold im Kartenspiel verjubelt .,Cross-Era,4
kreuzzug,1216453,"Kreuzzüge , die 333 , 665 , 818 .",684004,"Zu gleicher Zeit von zwei Seiten unaufhörlich bekämpft und bedrückt und zertreten — von den orthodoxen Serben und von den stets jedem Wink des römischen Papstes gehorsamen Ungarn — , die blutigen Opfer also eines ununterbrochenen zwiefachen Kreuzzuges , hielt dieses kleine Volk an seinem Glauben durch Jahrhunderte fest ; die Gräber seiner bogumilischen Helden zieren noch heute die Bergesspitzen , wohin die Leichen , der zu befürchtenden Schändung wegen , hinaufgetragen wurden .",Late-Late,4
tagewerk,519334,"Darum iſt der ſcheinbar Freiſte der am meiſten Gebundene und der in Muße Schwelgende entbehrt ihrer am meiſten ; denn ſeine Arbeit hat keinen natürlichen Ruhepunkt , ſein Tagewerk keinen Feierabend .",5845344,"„ Mein Tagewerk iſt vollendet , Paris iſt mein !",Late-Late,4
brunnenwasser,1459706,"Allein dieſer Weiſe hat hierdurch gewiß nichts weiter ſagen wollen , als daß man Mangel an Waſſer leiden wuͤrde , wenn das Rad an den Brunnen zerbrochen waͤre , vermittelſt deſſen man in Egypten und dem gelobten Lande das Brunnenwaſſer herauszuziehen pflegte , wovon uns auch die neuern Reiſebeſchreibungen deutliche Nachrichten ertheilet haben .",5090370,Das Waſſer iſt gleiches Geſchmaks / und von der Lauterkeit / wie ein anders Brunnenwaſſer / wann man es aber ſiedet / ſo wird es endlich Milchweiß / wegen Vielheit der vermiſchten irꝛdiſchen mineral theilchen / welche anfangs ſo zertheilt ſeyn / das ſie nicht unter das Geſichte kommen / erſt dannzumahl aber naͤher zuſamenkommen / und ſichtbar werden / wann viel Waſſertheilchen außgerauchet / und die uͤbrigen ſie nicht mehr halten koͤnnen / weßwegen ſie auch zu Boden ſinken / und den Badſtein abgeben .,Early-Early,3
sonnenblume,3505814,"Jch weiß nicht , was ich thun wuͤrde , wenn Sie ein vernuͤnftig denkender Grieche waͤren , und ich eine wilde Scythinn ; ſo viel aber weiß ich , daß ich es lieber zufrieden bin , wenn die Welt in ihr erſtes Chaos zuruͤck faͤllt , als wenn ich mich , gleich einer Sonnenblume , nach Jhnen wenden und kehren ſoll .",913799,"Sie fertigte ihm Röckchen und Wämschen , drehte Blumen aus den hellen Locken , die ich ihm jedes Jahr für ſie abſchneiden mußte , verflocht ſie mit einem Goldfädchen ihres eignen Haars , auch wohl mit einem anderen , das ſie einem theueren Erinnerungszeichen entwand , und nannte ſie ihre Sonnenblumen .",Cross-Era,4
streitsache,2018498,"1. wenn während der Dauer der Rechtshängigkeit von einer Partei die Streitſache anderweit anhängig gemacht wird , ſo kann der Gegner die Einrede der Rechtshängigkeit erheben ;",1284240,"Der König konnte nämlich jede Streitsache mit Umgehung des Volksgerichtes an seinen Hof ziehen , so daſs das nachmals sogenannte ius evocandi der deutschen Reichsgerichte zwar nicht dem Namen , aber der Sache nach schon in der fränkischen Zeit vorhanden war .",Late-Late,4
rehbock,965947,"Item ſoll nach dem Ziehl ſchieſſen mit Puͤrſch-Roͤhren , oder Flinten , mit Kugeln oder Schroth , oder ſich im Lauffen und Flug- Schieſſen exerciren ; oder ſoll lernen Netze ſtricken , auszubeſſern , item allerley Voͤgel zu locken , als wie die Enten , Reyer , Kiewitz , Ringel-Tauben , Blau-Tauben und dergleichen , item den Reh-Bock auffs Blat zu locken , einen Fuchs zu qvaͤcken , oder Haſen zu locken , und was ſonſt mehr noͤthig iſt .",962460,"Den 28. Aprilis vorigen Jahres ſchickte mir der Herr Graff von Solms , auff Sonnenwalde , von welchem ebenfalls nachfolgenden Rehbock erhalten , einen jaͤhrigen Kaͤuler durch einen ſeiner Unterthanen zur Anatomie , und ob wohl es auſſer der Zeit , ſo haben Sie doch hoͤchſtruͤhmlich dieſes loͤbliche Werck auch zugleich mit befoͤrdern wollen , wovor nochmahls mit allem Danck hoͤchſt verbunden bin .",Early-Early,2
sonnenblume,4638951,"Thue Zucker und Butter dazu , rühre klaren Käſe und geſchnittenen Knoblauch hinein und füge zerdrückte Maulbeeren und weichgequollene Kerne von Sonnenblumen hinzu .",2404018,Auch das Bildniss mit der Sonnenblume ( Nr. 440 ) hiess früher spanische Schule und ist ebenfalls mailändisch .,Late-Late,4
sonnenstrahl,1591259,"Ein kurzer Blick auf die Karte unterrichtet uns über deren tropische Lage vom 10. Grad nördl. Br. bis über den Wendekreis des Steinbockes , allwo in fast ununterbrochener Gleichmässigkeit der Nordostpassat über die See und die Inseln streicht und die Glut der fast senkrecht einfallenden Sonnenstrahlen lindert .",3309555,"Weil aber manche davon noch von Waſſertropfen wie mit kleinen Glaskügelchen verſchloſſen waren , ſo ſchimmerten ſie in den Sonnenſtrahlen bläulich oder röthlich , und Don Correa , der ein Sternkenner und Aſtrologe war , betrachtete die Erſcheinung ſogleich mit Aufmerkſamkeit als ein bedeutſames Spiel des Zufalls .",Late-Late,2
wortspiel,3510282,"NUn muß ich auch auf die Wortſpiele kommen ; die vorzeiten uͤberall ſo beliebt geweſen , zu unſern Zeiten aber gantz laͤcherlich geworden .",314115,"Lange zweideutige Dialoge in den Volksſcenen , die von Witz und Gedankenfülle ſprudelten , mußten zurückbleiben Die Spitzen der Wortſpiele mußten abgeſtumpft werden , oder durch aushelfende dumme Redensarten , die ich hinzuſetzte , krumm gebogen .",Cross-Era,4
mauerwerk,4212527,"Denn da iſt der Salpeter de Houſſage , welcher von abgekratzten Mauerwerck bereitet wird , und durch Eßig gehen muß : der zweyte iſt der aus Erde bereitete Salpeter , ſo aber zu fuͤhren verboten : der dritte iſt der gemeine , und aus Stein und Aſche gemacht , wird von den Salpeterſiedern Salpeter vom erſten Waſſer , oder zum erſten mahl gekochter Salpeter genennet .",1354373,"Durch dieſe Strucktur ( welche wir hier des geringen Raumes wegen nicht wiedergeben können , und daher auf das betreffende Blatt in dem genannten Specialwerke verweiſen müſſen ) gelang es auf ſehr ſinnreiche Weiſe , den Zwickelring , welcher die Zwickelgewölbe abſchließt und den inneren Umgang trägt , von der Laſt des Kuppelbaues zu befreien , zumal in der Detailausführung des Mauerwerks auf die Richtung des Druckes bei Anordnung der Lagerfugen im Mauerwerk möglichſt Rückſicht genommen wurde .",Cross-Era,4
kinderspiel,992225,Drum weil die liebe zeit durch honig-ſuͤſſe raͤncke Jn unſrer jungferſchafft die blume brechen wil / So fuß er neben mir ein corpo und bedencke / Die liebe ſey ein ſtrick und nicht ein kinderſpiel .,435322,Jn welcher Verwirrung er ſo wol die Princeßin / als den verborgenen Printzen gelaſſen hatte / der in ſolcher Angſt geweſen / daß er dekennete / es ſey vor ſeinem Feinde zu erſcheinen ein Kinderſpiel zu achten / gegen dieſem / da man einer Perſon begegnen ſoll / derer Mund unſer Tod und Leben auff der Zunge fuͤhret .,Early-Early,4
sonnenuhr,646320,"Es ſoll aber ein Uhrmacher ( naͤchſt der Wiſſenſchaft die Metalle zu tractiren , und ſeinen in Verfertigung ſeiner Kunſtwerke erforderten Handgriffe , vornehmlich in kuͤnſtlichem Drehen , und accuraten Abtheilen und Einſchneiden der Raͤder ) auch die Zeichenkunſt , ingleichen die Aſtronomie , ferner die Gewicht- und Rechenkunſt , das Graviren oder Stechen , die | Gnomonik oder die Kunſt Sonnenuhren zu machen ꝛc. verſtehen .",3873189,"Sie ſaßen dann oben in der luftigen , großen Stube , Roswitha wiegte das Kind und ſang in einem thüringiſchen Platt allerlei Wiegenlieder , die niemand recht verſtand , vielleicht ſie ſelber nicht ; Effi und Frau von Brieſt aber rückten ans offene Fenſter und ſahen , während ſie ſprachen , auf den Park hinunter , auf die Sonnenuhr oder auf die Libellen , die beinahe regungslos über dem Teich ſtanden , oder auch auf den Flieſengang , wo Herr von Brieſt neben dem Treppenvorbau ſaß und die Zeitungen las .",Cross-Era,4
trauerspiel,3863776,"Wie gefiel dieſes ſo bitter getadelte Trauerſpiel in Karlsruhe , als Mad. Neumann , kaum achtzehn Jahre alt , die Bertha ſpielte !",3861636,"Klaſſiſche Stücke — d. h. Trauerſpiele dürfen wir zwar nicht geben , doch das wird ſich finden .",Late-Late,2
ziegenbock,4094775,"Nun das Dritte , das war „ Bacchus auf dem Ziegenbock “ im Grünen Gewölbe und der ſich „ kratzende Hund “ von Peter Viſcher . “",1478507,"Thor fuhr auf einem mit Ziegenböcken bespannten Wagen und ihm wurden besonders Ziegenopfer gebracht , deshalb sieht auch der mittelalterliche Teufel einem Ziegenbocke ähnlich , hat Hörner , einen Bocksbart und ein haariges Fell , ja sogar den Bocksgeruch .",Late-Late,4
heerführer,1383551,"Im Uebrigen aber waren ſie für Georgien das , was die Mamigonier für Armenien waren , Heerführer und Palladine .",1482159,"Es war die Waffe der ägyptischen Pharaonen in der Schlacht , wie die der assyrischen und persischen Heerführer .",Late-Late,2
sonnenlicht,1343717,"Die schlechte Methode , welche während des ganzen vorigen Jahrhunderts und eines Theiles des gegenwärtigen bestand , dass man mit mässigen Instrumenten im vollen Sonnenlicht beobachtete , brachte fast in allen mikroskopischen Objecten eine gewisse Dispersion des Lichtes und der Beobachter bekam den Eindruck , als sähe er weiter nichts als Kügelchen .",2543826,"Er begriff nicht , was die ſchmalen , ſchwarzen , vom Sonnenlicht erwärmten Schienen zu bedeuten hatten .",Late-Late,4
stockwerk,915012,"Als ich mich dem Faber'ſchen Hauſe näherte , fand ich das Straßenpflaſter mit Stroh belegt und bemerkte , daß die Vorübergehenden gruppenweiſe zuſammentraten , oder mit Neugier nach dem matterleuchteten erſten Stockwerk deuteten .",1756399,"Iſt doch alles „ Geiſtige “ in unſerem bewußten Sinne nur ein höheres Stockwerk innerhalb unſerer Geſamt-Individualität , — ein Stück höher projizierten Leibes ſelbſt .",Late-Late,4
trauerspiel,3865410,Sind Sie je in ſeinem Trauerſpiel :,5266841,Ist nicht verletzte Eitelkeit die Mutter aller Trauerspiele ?,Late-Late,4
brunnenwasser,5865823,Wird alſo dafuͤr gehalten / daß man an ſtatt der einfachen Brunnenwaſſer mit viel groͤſſern Nutzen ein Saurwaſſer / ſo aber friſch und ohnlaͤngſt geſchoͤpfft / auch wohl verwahrt ſeyn muͤſte / brauchen koͤnte :,2544045,"Sie legte Handtücher in eiskaltes Brunnenwaſſer und erneuerte ſie , ſobald die brennende Stirn des Bewußtloſen ſie durchhitzt hatte .",Cross-Era,4
stückwerk,4764888,Nein : Er ſpricht einfaͤltig klat hinweg mit kurtzen Worten : Kommet zu mir : Lieber ! haltet eure Seelen nicht lange mit dem Stuckwerck auf :,2456827,Im Ganzen aber blieb die Ausbildung Stückwerk .,Cross-Era,4
kartenspiel,2907077,"Es muß ein ieder Soldat ſeines Landes-Herrn geſamte commandirende Generalitaͤt als ihm ſelbſt ehren , und auf keinerley Weiſe ſich ihnen widerſetzen , ſo lieb ihnen abermahls ihre Ehre , Leib und Leben iſt , die Salva-Guardes und Schutz Briefe , ſo von dem Landes-Fuͤrſten ſelbſt , als auf Ordre von dero Generalitaͤt , ausgeſtellet werden , reſpectiren , denen Ober- Officirern , vom unterſten biß auf den hoͤchſten , ſie ſeyn von demſelben oder einem andern Regiment , mit allen gebuͤhrenden Reſpect und Gehorſam begegnen , alles duelliren , Schlaͤgereyen oder auch andere unfertige Haͤndel , bey einer Lebens- oder andern peinlichen Straffe vermeiden , ſich vor dem Kartenſpielen oder Wuͤrffeln , bey Straffe der Spieß-Ruthen , huͤten , nach dem Zapffen-Schlage in ſeinem Quartier finden laſſen , zur Arbeit , es ſey im Felde , Belagerungen oder Guarniſon , willigſt und zu rechter Zeit einfinden , bey beſetzter Wache , inſonderheit Nachtſchlaffender Zeit , keinen unnoͤthigen Allarm machen , die Wache nicht verſaͤumen , auf der Schild-Wache nicht ſchlaffen , oder vor der Abloͤſung weggehen , ſich den Wachthabenden Officirer oder ſonſt iemand an der Wache , ſie ſeyn von des Landes-Fuͤrſten oder fremder Potentaten Trouppen , wenn ſie mit einander auf Commando ſtehen , in Verrichtungen , darzu er commandiret wird , nicht widerſetzen , zum Marche und Commando auf die gewoͤhnlichen Sammel-Plaͤtze , ſobald darzu angeſchlagen wird , einfinden , die Zug-Ordnung richtig halten , von der Fahne nicht abſentiren , und dahinten bleiben , in Schlachten , Scharmuͤtzeln , Stuͤrmen , oder bey was Gelegenheit es immer wolle , die Flucht nicht ergreiffen , und ſeinen Poſten und Schild-Wache oder andern Herren-Dienſt , der ihm anbefohlen iſt , nicht verlaſſen , noch weniger gar etwan meyneydiger Weiſe deſertiren , mit dem Feinde nicht muͤndlich oder ſchrifftlich correſpondiren , oder demſelben die Loſung offenbahren , alle verdaͤchtige Rottirungen , Zuſammenkuͤnffte und Berathſchlagungen meiden , ohne Conſens der Ober-Officirer keine Sponſalien oder Ehen celebriren , ſeinen Wirth , Wirthin oder Geſinde nicht ungebuͤhrlich tractiren , ſein Gewerbe , Waffen und Kleidung , auch alles andere , was zur Herren-Montur gehoͤrt , nicht wegwerffen , muthwillig verderben , verſetzen , verkauffen , oder aufs Spiel bringen , ohne Vorwiſſen der Ober- Officirer keine unnoͤthige Schulden machen , niemanden , weder auf dem Marche noch ſonſten mit Gewalt etwas abnehmen , bey der Muſterung ſein eignes , keines wegs aber gelehnt fremdes Gewehr und Montur haben , oͤffentlich bey Verſammlung des Kriegs-Volcks nicht um Geld ruffen , und die ſolches thun , ſind als Meutmacher , ohne alle Gnade , an Leib und Leben zu beſtraffen , und uͤberhaupt ſeines Commandeurs Gebothen nachzuleben , und allen oͤffentlichen unter Trompeten , Trommel und Paucken angekuͤndigten Gebothen und Verbothen bey der darinnen geſetzten Straffe nachzukommen und Folge zu leiſten .",913817,"Das landläufige Sprichwort von dem beſudelnden Pech und der Geiſt , welcher geheimnißvoll aus einem Kartenſpiel warnt , ſtimmten in dieſer Mahnung zuſammen : Und alte , treue Juſtine , könntest Du doch ſpüren , daß vierzig Jahre ſpäter die Erörterung der Frage , ob Deinem Fräulein Gutes von dem Wildling gekommen iſt ? die Schlußbetrachtung ihres Lebens bilden wird .",Cross-Era,4
bildhauer,5122003,Bildhauer / Sculpteur .,5880971,"Von der Statue Laxoon macht man auch ſonderlich Eſtim ; die Groupe iſt aus einem Stuͤck Marmor , und ein Meiſterſtuͤck welches von Ageſander , Polydore und Athenodore , die alleſamt Griechiſche Bildhauers geweſen , verfertiget iſt .",Early-Early,4
seewasser,4205229,"Mich hat ein guter Freund verſichert , es kaͤme allein daher , daß dieſes Pantoffelholtz ſo ſchwartz waͤre , weil es in Seewaſſer geweichet worden .",4205349,"Hingegen ſollen die ſchwartzen , und die zuriſſenen , in denen die Kerne ausgedorret , vertrocknet und ſchimmlicht , weggeworffen werden , denn ſie ſind durchaus nicht tuͤchtig , daß ſie ein Menſche zu ſich nehme , weil ſie nicht allein zu alt , ſondern auch zum oͤftern in Seewaſſer geweichet worden ſind .",Early-Early,4
kartenspiel,986775,WAnn wir die eitlen Sachen Der ſuͤſſen loͤffeley Und etwas kuntbar machen / So iſt die fantaſey / Wo man die warheit ſagen will / Ein umgekehrtes kartenſpiel .,442080,"Wer an der Jagd mehr Vergnuͤgen findet als an einem Kartenſpiel , wird die Karten ohne Verdruß hinweg werffen , wenn ihm Gelegenheit gegeben wird ein Wildpret zu verfolgen .",Early-Early,4
